episode,timestep,return
729,64692,-17.642970418764847
730,64787,-136.11646308825306
731,64984,412.76398219739986
732,65165,391.06780968865263
733,65382,435.77201096932265
734,65631,481.69874165024004
735,65753,-73.29341136854988
736,65992,471.68044175103313
737,66173,390.4018987186117
738,66345,49.56086414437786
739,66567,450.09558096353726
740,66807,469.2002147587908
741,67031,448.2349861662615
742,67271,468.90127235065336
743,67500,458.81000312642544
744,67533,-56.00549645205782
745,67748,436.91613358073556
746,67984,463.0584278044218
747,68215,460.45698032274845
748,68445,456.90793185101467
749,68522,-49.66672929763952
750,68782,496.1677436244453
751,68993,434.68823905015967
752,69229,463.35889757979487
753,69447,442.6464584807136
754,69671,449.1993275922319
755,69897,450.19046814191574
756,70143,480.53222564783675
757,70394,471.0143299923324
758,70452,-67.92865209688456
759,70663,431.3411295038572
760,70883,442.02525497635656
761,71147,498.36460163709927
762,71381,461.013375329482
763,71613,454.42402142949624
764,71822,421.88336497672265
765,72035,431.95146736380553
766,72267,456.9462456484915
767,72509,463.67414644187795
768,72593,-127.26598250372909
769,72645,-128.60210589578594
770,72731,-82.37658946581936
771,72966,82.56071975580915
772,73056,-168.353341388663
773,73132,-63.454617110139026
774,73344,429.71818088429546
775,73589,463.87541952390205
776,73798,427.79686102107297
777,73874,-92.59329166620407
778,74109,458.1118247059086
779,74321,428.89812082615975
780,74562,469.80211658949315
781,74802,465.3702261446073
782,75031,451.69156684107065
783,75233,420.6533546421685
784,75439,422.1972142395409
785,75733,524.1068338315097
786,75994,490.2165345308276
787,76079,-31.818715609498852
788,76323,471.4522617869941
789,76394,-112.86605521076973
790,76627,455.85644376707603
791,76830,416.55607851986093
792,77014,393.6884593606532
793,77200,397.43586003580646
794,77385,397.43415412698295
795,77616,455.3464788621668
796,77684,-169.1592188500554
797,77876,404.01158736784384
798,78080,417.94389390992285
799,78304,445.9229548960198
800,78503,411.25699900375344
801,78745,469.58729452372273
802,78968,445.37184063112466
803,79181,432.56619786994696
804,79410,451.93349590530676
805,79633,444.92120015160197
806,79894,492.2679723289761
807,80130,457.9685098146627
808,80376,475.25619825681775
809,80652,510.1056143673663
810,80970,563.9043261938984
811,81314,600.8471991810611
812,81618,544.0523955704231
813,81920,544.001634208233
814,82250,581.1317462078217
815,82572,568.4302908528462
816,82843,507.16825908456144
817,83169,574.162202213166
818,83444,511.29487085459743
819,83755,551.2567045720709
820,84050,537.5173104541087
821,84237,1.7931891025193387
822,84547,549.2954307205115
823,84842,533.5721935830704
824,85135,527.216711815101
825,85463,575.9497099718674
826,85730,496.77338780717866
827,86076,596.9161613854648
828,86370,529.6388893992097
829,86449,-107.7788708047562
830,86716,498.6119570822645
831,87076,611.7873017478893
832,87390,557.7815589444365
833,87476,-117.47602698363228
834,87537,-46.36765159113436
835,87880,595.6147379805636
836,88203,570.2886799437308
837,88275,-81.03627288051258
838,88348,-160.4394978335266
839,88470,43.173760149721936
840,88964,772.9498041083358
841,89388,699.4342914167655
842,89429,-66.52609868944073
843,89483,-112.07524910960403
844,89548,-88.40868675639226
845,89626,-110.88791897407896
846,89795,-4.1496288282111005
847,89855,-72.14428464003063
848,89896,-76.49504637739525
849,89931,-58.369803996116694
850,89973,-67.40505511235294
851,90005,-62.353427368222775
852,90505,673.8044341496798
853,90574,-169.2433042358974
854,90701,-14.547326714154305
855,90842,3.899474567079658
856,90902,-119.27243947527536
857,91079,63.068974767797194
858,91162,-128.6582200651603
859,91662,656.1756141360927
860,91730,-137.7595907000048
861,91876,-58.540159496721046
862,91969,-131.69094301776005
863,92019,-102.0095045521639
864,92073,-39.348826383293584
865,92207,76.10057259395062
866,92266,-151.80868895714113
867,92766,666.5545020982781
868,92824,-61.0200779985289
869,92903,-161.89047784939618
870,92960,-105.6803941738249
871,93460,682.5875158397997
872,93497,-42.53826655632467
873,93566,-128.92104841485695
874,93989,320.7870637250629
875,94489,680.6358936400742
876,94989,686.1628936337885
877,95073,-67.18908724643241
878,95135,-46.405978751092746
879,95184,-108.41993288591239
880,95249,-146.92550069123953
881,95749,702.626508241729
882,95838,-75.42685375714127
883,96338,707.0192738686667
884,96425,-98.75517350813578
885,96495,-125.79036690081519
886,96547,-60.54860809144525
887,96607,-92.44499446193969
888,96674,-130.73696522541383
889,97089,273.5575821528083
890,97133,-74.93701700473807
891,97221,-103.62981140011013
892,97505,126.1031678977454
893,97706,153.6721543738103
894,97783,-3.8150270099292753
895,97842,-51.52433169396707
896,97917,-96.44521766294297
897,97954,-24.939767684176164
898,97990,-52.18486507872498
899,98182,-100.365273085933
900,98274,35.920383714332495
901,98343,-129.6262374217699
902,98408,-107.09662107056687
903,98578,43.93082045716436
904,98643,-162.0362772735169
905,98795,30.956402493883704
906,98856,-62.93970943534231
907,98910,-60.77279372257551
908,98976,-127.10363053406185
909,99214,10.860748265832008
910,99314,-34.79243764244501
911,99462,106.27730516485524
912,99529,-144.68656635726867
913,99641,59.518767756729716
914,99696,-122.42224632279391
915,99807,-80.74209556083592
916,99890,-113.19888555870273
917,100110,134.96701895136937
918,100375,239.78847799940863
919,100427,-134.13440718539925
920,100515,-92.57842630296484
921,100574,-54.20041993277164
922,100611,-48.322051667795705
923,100725,-85.16952467513349
924,100913,29.49105737368137
925,101040,58.323677629856284
926,101158,-16.156934045340975
927,101228,-127.93730623773881
928,101424,31.526261511757294
929,101491,-136.31379816956022
930,101568,-125.16034480924584
931,101899,314.67934207581004
932,101953,-57.603031949833536
933,102019,-131.9930859022442
934,102133,47.40762102125581
935,102331,35.51507505386571
936,102394,-121.75559981117658
937,102430,-64.18751673989495
938,102516,-92.08633319014551
939,102756,214.082878618506
940,102819,-136.1731677036444
941,102895,-134.26180087997972
942,102966,-107.41475397904215
943,103132,-12.04895991331712
944,103211,-146.59315143864896
945,103711,574.0462358874809
946,103792,-95.1185049629115
947,103857,-142.83810442327862
948,103912,-141.65023705798836
949,104083,-33.88586082899357
950,104164,-131.74885588026885
951,104664,584.2301893777249
952,105164,571.0582282395394
953,105664,588.1443448121119
954,105903,69.49252765700713
955,106313,345.4803848055254
956,106491,-9.648603008365306
957,106538,-60.405256476197785
958,106614,-82.99188904061515
959,106983,238.10770002448544
960,107069,-144.24240209970282
961,107559,344.0297621906922
962,108059,590.8596381025961
963,108559,560.7596624843414
964,109059,607.0370881673723
965,109365,237.5914983679788
966,109449,-130.6445902250674
967,109815,240.2247263062908
968,109885,-133.90217572262645
969,110385,601.6685742406565
970,110885,603.17281384733
971,111385,615.8219570749409
972,111550,-107.57751295339457
973,112050,646.7532516169448
974,112550,637.4986154760987
975,113050,660.2231114590742
976,113273,32.3929558654619
977,113773,699.2771456202743
978,114273,770.0439307118497
979,114773,754.1192073225994
980,115273,763.477685851168
981,115773,663.0745066126798
982,115860,-86.98939625780257
983,116360,709.3016232480691
984,116543,156.38271991915383
985,117043,703.6673480151044
986,117543,671.1567215805021
987,118043,670.6116189253547
988,118543,666.931963516758
989,119043,609.3670831342223
990,119079,-35.35536943564722
991,119579,640.7181115398437
992,120079,663.4832767301955
993,120579,685.3268432538331
994,120651,-137.25918090381333
995,121151,697.963092073376
996,121651,695.4348660536731
997,122151,727.2108360720421
998,122651,732.6792608102099
999,123151,777.0679446639557
1000,123651,663.2095875779064
1001,124151,705.4712782182412
1002,124600,725.07732850303
1003,125034,706.6415760787463
1004,125487,722.153580424383
1005,125987,725.3844043485525
1006,126358,627.5573816917743
1007,126732,630.2956468830766
1008,127116,644.4141349226483
1009,127479,616.3167617953663
1010,127903,692.1200008568293
1011,128266,618.4924895678636
1012,128673,672.4167706675171
1013,129173,782.1925342438954
1014,129575,664.6169303574208
1015,129989,672.6326820479269
1016,130489,656.5344286801338
1017,130821,579.9015229743063
1018,131185,621.74894171069
1019,131526,591.6846730578059
1020,131967,718.1800433426329
1021,132273,548.7882936364537
1022,132611,588.2618198157608
1023,133004,659.1358802559915
1024,133408,673.4800405062072
1025,133728,562.265291993997
1026,134003,508.0077612410586
1027,134335,580.8071163925728
1028,134604,501.212191397907
1029,134922,556.2395767191132
1030,135240,561.4363482907576
1031,135521,514.6721526712001
1032,135774,479.65919982825886
1033,136035,491.8572837608419
1034,136287,479.996264940052
1035,136540,480.49466592658825
1036,136824,517.2560096410608
1037,137057,461.40763257699444
1038,137303,473.50287968476715
1039,137545,467.01529779502937
1040,137792,471.8594135092145
1041,138040,475.2034417782646
1042,138295,480.90207576740636
1043,138542,470.62543525926685
1044,138823,515.7084384865041
